	coll	measure	mfw	Cluster Errors	Adjusted Rand Index	Homogeneity	Completeness	V Measure	Purity	Entropy
ELTeC-eng_eders-d_1400	ELTeC-eng	eders-d	1400	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_cosine-d_1600	ELTeC-eng	cosine-d	1600	1.0	0.9118541033434651	0.9674374599615713	0.9722198882874836	0.9698227783355848	0.9666666666666667	0.03256254003842873
ELTeC-eng_burrows-d_1600	ELTeC-eng	burrows-d	1600	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_eders-d_1600	ELTeC-eng	eders-d	1600	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_cosine-d_1800	ELTeC-eng	cosine-d	1800	1.0	0.9118541033434651	0.9674374599615713	0.9722198882874836	0.9698227783355848	0.9666666666666667	0.03256254003842873
ELTeC-eng_burrows-d_1800	ELTeC-eng	burrows-d	1800	3.0	0.6588235294117647	0.8670941280735774	0.9127071177474869	0.8893161349425983	0.8	0.13290587192642245
ELTeC-eng_eders-d_1800	ELTeC-eng	eders-d	1800	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_cosine-d_2000	ELTeC-eng	cosine-d	2000	0.0	1.0	1.0	1.0	1.0	1.0	0.0
ELTeC-eng_burrows-d_2000	ELTeC-eng	burrows-d	2000	3.0	0.6588235294117647	0.8670941280735776	0.912707117747487	0.8893161349425984	0.8	0.13290587192642245
ELTeC-eng_eders-d_2000	ELTeC-eng	eders-d	2000	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_cosine-d_2500	ELTeC-eng	cosine-d	2500	3.0	0.7568862275449102	0.9072314608287748	0.9162456337024246	0.9117162669438892	0.8666666666666667	0.09276853917122496
ELTeC-eng_burrows-d_2500	ELTeC-eng	burrows-d	2500	3.0	0.6272493573264781	0.8580973755187419	0.9118725488847879	0.8841680643464177	0.8	0.14190262448125823
ELTeC-eng_eders-d_2500	ELTeC-eng	eders-d	2500	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_cosine-d_3000	ELTeC-eng	cosine-d	3000	2.0	0.841337386018237	0.9397940008672035	0.9444397765749669	0.9421111613978133	0.9	0.06020599913279623
ELTeC-eng_burrows-d_3000	ELTeC-eng	burrows-d	3000	3.0	0.6272493573264781	0.8580973755187419	0.9118725488847881	0.8841680643464178	0.8	0.14190262448125823
ELTeC-eng_eders-d_3000	ELTeC-eng	eders-d	3000	3.0	0.6588235294117647	0.8670941280735774	0.9127071177474869	0.8893161349425983	0.8	0.13290587192642245
ELTeC-eng_cosine-d_3500	ELTeC-eng	cosine-d	3500	2.0	0.841337386018237	0.9397940008672035	0.9444397765749669	0.9421111613978133	0.9	0.06020599913279623
ELTeC-eng_burrows-d_3500	ELTeC-eng	burrows-d	3500	3.0	0.6272493573264781	0.8580973755187419	0.9118725488847881	0.8841680643464178	0.8	0.14190262448125823
ELTeC-eng_eders-d_3500	ELTeC-eng	eders-d	3500	3.0	0.6588235294117647	0.8670941280735777	0.9127071177474873	0.8893161349425986	0.8	0.13290587192642245
ELTeC-eng_cosine-d_4000	ELTeC-eng	cosine-d	4000	2.0	0.841337386018237	0.9397940008672035	0.9444397765749669	0.9421111613978133	0.9	0.06020599913279623
ELTeC-eng_burrows-d_4000	ELTeC-eng	burrows-d	4000	4.0	0.5676092544987147	0.8304539164243744	0.882496731846384	0.8556847425036831	0.7666666666666667	0.16954608357562573
